Training epoch: 001, Train Acc: 0.4387, Test Acc: 0.3962
Training epoch: 002, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 003, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 004, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 005, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 006, Train Acc: 0.4387, Test Acc: 0.3962
Training epoch: 007, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 008, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 009, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 010, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 011, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 012, Train Acc: 0.2264, Test Acc: 0.2453
Training epoch: 013, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 014, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 015, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 016, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 017, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 018, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 019, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 020, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 021, Train Acc: 0.4387, Test Acc: 0.3962
Training epoch: 022, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 023, Train Acc: 0.4387, Test Acc: 0.3962
Training epoch: 024, Train Acc: 0.7736, Test Acc: 0.7547
Training epoch: 025, Train Acc: 0.4387, Test Acc: 0.3962
Training epoch: 026, Train Acc: 0.4387, Test Acc: 0.3962
Training epoch: 027, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 028, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 029, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 030, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 031, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 032, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 033, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 034, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 035, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 036, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 037, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 038, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 039, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 040, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 041, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 042, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 043, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 044, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 045, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 046, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 047, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 048, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 049, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 050, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 051, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 052, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 053, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 054, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 055, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 056, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 057, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 058, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 059, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 060, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 061, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 062, Train Acc: 0.5613, Test Acc: 0.6038
Training epoch: 063, Train Acc: 0.5613, Test Acc: 0.6038
